Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Symbol,Date,Expiry,Strike Price,Call Price,Put Price
BATAINDIA,25-Mar-2013,28-Mar-2013,1000,5.1,126.5,IDBI,25-Mar-2013,28-Mar-2013,50,60.15,0.05,ITC,25-Mar-2013,28-Mar-2013,160,131.95,0.05,TCS,25-Mar-2013,28-Mar-2013,1950,0.05,656.1
BATAINDIA,25-Mar-2013,28-Mar-2013,1020,3.45,144.4,IDBI,25-Mar-2013,28-Mar-2013,150,0.05,38.05,ITC,25-Mar-2013,28-Mar-2013,180,112.4,0.05,TCS,25-Mar-2013,28-Mar-2013,2000,0.05,705
BATAINDIA,25-Mar-2013,28-Mar-2013,1040,2.3,162.85,IDBI,25-Mar-2013,28-Mar-2013,55,45.2,0.05,ITC,25-Mar-2013,28-Mar-2013,200,92.85,0.45,TCS,25-Mar-2013,28-Mar-2013,2050,0.05,753.9
BATAINDIA,25-Mar-2013,28-Mar-2013,1060,1.5,181.6,IDBI,25-Mar-2013,28-Mar-2013,60,50.4,47.6,ITC,25-Mar-2013,28-Mar-2013,220,73.3,0.05,TCS,25-Mar-2013,28-Mar-2013,2100,0.05,802.8
BATAINDIA,25-Mar-2013,28-Mar-2013,1080,1,200.65,IDBI,25-Mar-2013,28-Mar-2013,65,35.3,57.3,ITC,25-Mar-2013,28-Mar-2013,400,0.05,0.1,TCS,25-Mar-2013,28-Mar-2013,500,762,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,1100,0.65,219.85,IDBI,25-Mar-2013,28-Mar-2013,70,40.65,0.05,ITC,25-Mar-2013,28-Mar-2013,380,0.2,102.85,TCS,25-Mar-2013,28-Mar-2013,550,713.1,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,1120,0.4,239.15,IDBI,25-Mar-2013,28-Mar-2013,75,25.4,0.05,ITC,25-Mar-2013,28-Mar-2013,240,64,0.1,TCS,25-Mar-2013,28-Mar-2013,600,664.2,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,1140,0.25,258.6,IDBI,25-Mar-2013,28-Mar-2013,80,3.25,0.5,ITC,25-Mar-2013,28-Mar-2013,340,0.05,64.25,TCS,25-Mar-2013,28-Mar-2013,650,615.3,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,1160,0.15,278.05,IDBI,25-Mar-2013,28-Mar-2013,85,0.15,0.95,ITC,25-Mar-2013,28-Mar-2013,320,0.15,37,TCS,25-Mar-2013,28-Mar-2013,700,566.4,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,1180,0.1,297.55,IDBI,25-Mar-2013,28-Mar-2013,90,0.05,3,ITC,25-Mar-2013,28-Mar-2013,300,4.65,18.1,TCS,25-Mar-2013,28-Mar-2013,750,517.5,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,500,367.6,0.05,IDBI,25-Mar-2013,28-Mar-2013,170,0.05,7.4,ITC,25-Mar-2013,28-Mar-2013,280,23.25,1.8,TCS,25-Mar-2013,28-Mar-2013,800,468.6,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,520,348.05,0.05,IDBI,25-Mar-2013,28-Mar-2013,95,0.05,14.25,ITC,25-Mar-2013,28-Mar-2013,260,43,0.2,TCS,25-Mar-2013,28-Mar-2013,850,419.7,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,540,328.45,0.05,IDBI,25-Mar-2013,28-Mar-2013,100,0.05,17.5,ITC,25-Mar-2013,28-Mar-2013,360,0.55,83.4,TCS,25-Mar-2013,28-Mar-2013,900,370.85,0.05
BATAINDIA,25-Mar-2013,28-Mar-2013,560,308.9,0.05,IDBI,25-Mar-2013,28-Mar-2013,105,0.05,6.85,ITC,25-Mar-2013,25-Apr-2013,400,0.25,84.55,TCS,25-Mar-2013,28-Mar-2013,950,322.1,0.25
BATAINDIA,25-Mar-2013,28-Mar-2013,580,289.35,0.05,IDBI,25-Mar-2013,28-Mar-2013,110,0.05,19.5,ITC,25-Mar-2013,25-Apr-2013,380,0.75,65.45,TCS,25-Mar-2013,28-Mar-2013,1000,273.8,0.8
BATAINDIA,25-Mar-2013,28-Mar-2013,600,269.8,0.05,IDBI,25-Mar-2013,28-Mar-2013,115,0.6,14.8,ITC,25-Mar-2013,25-Apr-2013,320,2.65,47.2,TCS,25-Mar-2013,28-Mar-2013,1050,226.55,2.45
BATAINDIA,25-Mar-2013,28-Mar-2013,620,250.25,0.05,IDBI,25-Mar-2013,28-Mar-2013,120,0.05,38,ITC,25-Mar-2013,25-Apr-2013,340,0.55,6.05,TCS,25-Mar-2013,28-Mar-2013,1100,181.35,6.15
BATAINDIA,25-Mar-2013,28-Mar-2013,640,120.35,0.05,IDBI,25-Mar-2013,28-Mar-2013,125,0.1,24.15,ITC,25-Mar-2013,25-Apr-2013,360,2.05,18,TCS,25-Mar-2013,28-Mar-2013,1150,139.75,13.45
BATAINDIA,25-Mar-2013,28-Mar-2013,660,211.2,0.1,IDBI,25-Mar-2013,28-Mar-2013,130,2.1,20.2,ITC,25-Mar-2013,25-Apr-2013,300,11.1,35,TCS,25-Mar-2013,28-Mar-2013,1200,103.1,25.7
BATAINDIA,25-Mar-2013,28-Mar-2013,680,191.8,7,IDBI,25-Mar-2013,28-Mar-2013,140,0.05,28.8,ITC,25-Mar-2013,25-Apr-2013,280,26.1,1.65,TCS,25-Mar-2013,28-Mar-2013,1250,260,2.4
BATAINDIA,25-Mar-2013,28-Mar-2013,700,19.8,7,IDBI,25-Mar-2013,28-Mar-2013,160,0.15,0.05,ITC,25-Mar-2013,25-Apr-2013,260,44,0.65,TCS,25-Mar-2013,28-Mar-2013,1300,251,0.45
BATAINDIA,25-Mar-2013,28-Mar-2013,720,8.35,8.95,IDBI,25-Mar-2013,25-Apr-2013,170,0.05,59,ITC,25-Mar-2013,25-Apr-2013,240,68,0.1,TCS,25-Mar-2013,28-Mar-2013,1350,203.2,0.45
BATAINDIA,25-Mar-2013,28-Mar-2013,740,3.5,21.1,IDBI,25-Mar-2013,25-Apr-2013,160,0.05,49.25,ITC,25-Mar-2013,25-Apr-2013,220,92.1,0.05,TCS,25-Mar-2013,28-Mar-2013,1400,148,0.5
